What is your age?,Current educational position?,Gender?,Your  current CGPA?,Your Higher Secondary School(H. SC) or A level or equivalent result?,At what age you had started playing games?,Do you play games on mobile or pc?,When you go to sleep?,Do you attend your morning class regularly?,The average time you spend playing games?,Which type of game you addict more?,Do you read newspaper?,Which type of game you played most?,How many time you spend with family and friend?,How you fill when you can not play game in whole day?,How you fill to complete game level?,If you didn't finish games last level what is your feeling?,Do you fill Fatigue?,Do you play games for stress relief?,Are you wearing glasses?
21,Bachelor Level,Male,3.25,4.92,19,Mobile,12:30:00 PM,Yes,3,PUBG,Not regular,Paid,2,Upset,Excited,Excited to complete level,No,Yes,No
21,Bachelor Level,Male,3.44,5,16,"Mobile, PC",2:00:00 AM,Yes,2,"FIFA, CALL OF DUTY",Not regular,Non Paid,8,Angry,Excited,Excited to complete level,No,Yes,Yes
22,Bachelor Level,Male,3.67,5,19,Mobile,2:00:00 AM,No,1,"FIFA, ",Not regular,Non Paid,0,Positive,Excited,Excited to complete level,Yes,No,No
23,Bachelor Level,Male,3.33,4.5,15,Mobile,12:30:00 AM,Yes,2,"PUBG, CALL OF DUTY",Regular,Non Paid,5,Positive,Excited,Excited to complete level,Yes,Yes,No
23,Bachelor Level,Male,4,5,10,PC,1:00:00 AM,No,3,"CALL OF DUTY, The Walking dead ",Not regular,Non Paid,7,Positive,Excited,Stressed,Yes,Yes,Yes
23,Bachelor Level,Male,4,5,10,PC,1:00:00 AM,No,3,"CALL OF DUTY, The Walking dead ",Not regular,Non Paid,8,Depressed,Excited,Stressed,Yes,Yes,Yes
22,Bachelor Level,Female,3.31,5,0,Mobile,1:00:00 AM,Yes,0,Nothing ,Not regular,Non Paid,2,Nothing ,Excited,No feeling,Yes,No,Yes
21,Bachelor Level,Female,3.89,5,14,Mobile,12:01:00 AM,Yes,1,Ludo,Regular,Non Paid,1,Upset,Excited,No feeling,No,Yes,Yes
23,Bachelor Level,Male,3,4.08,12,Mobile,12:00:00 AM,Yes,2,"PUBG, ",Not regular,Non Paid,3,Positive,Excited,Excited to complete level,Yes,No,No
22,Bachelor Level,Male,3.69,4.92,18,Mobile,8:00:00 AM,Yes,1,FREE FIRE,Not regular,Paid,6,Positive,Excited,Excited to complete level,No,Yes,No
24,Bachelor Level,Male,3.4,4.67,5,Mobile,1:02:00 AM,No,0,FIFA,Not regular,Non Paid,0,Upset,Excited,Excited to complete level,Yes,Yes,Yes
23,Bachelor Level,Male,3.56,5,16,PC,4:30:00 AM,No,4,Valorant ,Not regular,Non Paid,3,Positive,Excited,Excited to complete level,No,Yes,Yes
20,Bachelor Level,Female,3.95,5,15,Mobile,1:00:00 AM,Yes,1,Match three puzzle game,Not regular,Non Paid,6,No feeling ,Excited,No feeling,No,Yes,No
22,Bachelor Level,Male,4,5,15,Mobile,11:30:00 PM,Yes,1,"COC, ",Not regular,Non Paid,2,Upset,Excited,Excited to complete level,Yes,Yes,Yes
24,Master's Level,Male,3.52,4.58,9,"Mobile, PC",12:00:00 AM,Yes,1,"FIFA, PUBG, COC, ACE Fighter",Not regular,Non Paid,14,Not Bad,Excited,No feeling,Yes,Yes,No
18,Bachelor Level,Male,3.54,5,15,"Mobile, PC",1:00:00 PM,Yes,4,"PUBG, PES",Not regular,Non Paid,1,Positive,Excited,Excited to complete level,No,Yes,Yes
22,Bachelor Level,Male,3.7,5,15,PC,1:00:00 AM,Yes,1,FIFA,Not regular,Non Paid,5,Positive,Excited,No feeling,No,Yes,Yes
22,Bachelor Level,Male,3.57,4.75,8,"Mobile, PC",1:00:00 AM,No,2,"FIFA, PUBG, CALL OF DUTY",Not regular,Non Paid,10,Upset,Excited,Excited to complete level,Yes,Yes,No
24,Bachelor Level,Male,3.9,4.5,19,Mobile,11:00:00 AM,Yes,3,Vice city,Not regular,Non Paid,5,Positive,Excited,Excited to complete level,Yes,Yes,Yes
24,Master's Level,Male,3.6,3.17,17,Mobile,11:12:00 PM,Yes,1,CALL OF DUTY,Regular,Non Paid,4,Positive,Bored,Excited to complete level,Yes,No,Yes
21,Bachelor Level,Male,3.1,4.89,7,"Mobile, PC",4:00:00 AM,No,7,"PUBG, PES",Not regular,Non Paid,1,Depressed,Excited,Excited to complete level,No,Yes,No
19,Bachelor Level,Male,3,5,13,Mobile,7:07:00 AM,Yes,5,"FIFA, PUBG, FREE FIRE, COC, PES, CALL OF DUTY, ",Not regular,Non Paid,7,Angry,Excited,Stressed,Yes,Yes,No
21,Bachelor Level,Male,3.48,5,12,Mobile,1:00:00 AM,No,2,COC,Not regular,Non Paid,5,Positive,Excited,Excited to complete level,No,No,Yes
21,Bachelor Level,Male,2.5,5,14,"Mobile, PC",1:00:00 AM,Yes,1,"PUBG, COC, Worm zone",Regular,Non Paid,0,Positive,Excited,No feeling,No,Yes,No
20,Bachelor Level,Male,2.33,5,14,"Mobile, PC",4:00:00 AM,Yes,8,"PUBG, GTA V",Not regular,Non Paid,3,Upset,Excited,Excited to complete level,Yes,Yes,No
22,Bachelor Level,Male,2.93,4.58,14,"Mobile, PC",1:00:00 AM,Yes,4,Mobile legends ,Not regular,Non Paid,1,Calm,Excited,Excited to complete level,No,Yes,No
19,Bachelor Level,Male,3.56,5,12,"Mobile, PC",11:30:00 PM,Yes,3,"FIFA, PUBG, PES",Not regular,Non Paid,8,Positive,Excited,No feeling,No,Yes,No
21,Bachelor Level,Male,2.85,4.75,18,Mobile,12:00:00 AM,Yes,4,PUBG,Not regular,Non Paid,12,Positive,Excited,Excited to complete level,No,Yes,Yes
20,Bachelor Level,Female,2.58,4.91,14,Mobile,1:00:00 AM,No,6,CALL OF DUTY,Not regular,Non Paid,3,Upset,Excited,Stressed,Yes,Yes,No
20,Bachelor Level,Male,3.31,4.44,10,Mobile,1:00:00 AM,Yes,4,PUBG,Not regular,Non Paid,8,Positive,Excited,Excited to complete level,No,No,No
21,Bachelor Level,Male,2.62,3.92,12,"Mobile, PC",4:00:00 AM,No,7,"FIFA, PUBG, FREE FIRE, COC, PES, CALL OF DUTY, GTA V",Not regular,Non Paid,3,Depressed,Excited,Stressed,No,No,No
18,Bachelor Level,Male,2.5,5,12,Mobile,12:01:00 AM,Yes,4,"PUBG, FREE FIRE",Not regular,Non Paid,2,Upset,Bored,Excited to complete level,Yes,Yes,No
20,Bachelor Level,Male,2.65,4.92,16,Mobile,1:00:00 AM,Yes,2,COC,Not regular,Non Paid,10,Positive,Excited,Excited to complete level,Yes,No,No
22,Bachelor Level,Male,3.74,5,14,Mobile,1:00:00 AM,Yes,1,FREE FIRE,Not regular,Non Paid,4,No fillings ,Excited,No feeling,No,Yes,No
23,Bachelor Level,Female,3.57,5,15,"Mobile, PC",12:00:00 PM,Yes,2,Some random games,Not regular,Non Paid,5,Positive,Bored,No feeling,No,Yes,No
22,Master's Level,Male,3.56,3.51,14,"Mobile, PC",11:30:00 PM,Yes,4,"PUBG, FREE FIRE, IGA",Not regular,Paid,13,Positive,Excited,Excited to complete level,Yes,Yes,No
18,Bachelor Level,Male,2.5,5,12,"Mobile, PC",1:00:00 AM,Yes,3,"PUBG, FREE FIRE, COC, ",Not regular,Paid,2,Upset,Excited,Excited to complete level,Yes,No,No
19,Bachelor Level,Male,2.89,4.81,14,Mobile,2:30:00 AM,Yes,1,COC,Not regular,Non Paid,6,Positive,Excited,Excited to complete level,Yes,No,No
22,Bachelor Level,Female,3.8,4.54,17,Mobile,12:00:00 PM,Yes,1,PES,Regular,Non Paid,15,Positive,Excited,Excited to complete level,No,No,Yes
19,Bachelor Level,Male,2.95,5,10,"Mobile, PC",11:00:00 PM,Yes,3,"FIFA, PUBG, COC, PES, CALL OF DUTY",Not regular,Non Paid,10,Positive,Excited,Excited to complete level,No,Yes,No
20,Bachelor Level,Female,3.75,4.58,18,Mobile,12:00:00 PM,Yes,0,Nothing,Regular,Non Paid,1,Positive,Excited,No feeling,Yes,No,Yes
23,Bachelor Level,Female,3,4.3,15,Mobile,12:00:00 AM,Yes,2,Cendy crush,Regular,Non Paid,6,Positive,Bored,No feeling,Yes,No,No
23,Bachelor Level,Male,3.82,4.5,12,"Mobile, PC",11:00:00 PM,Yes,1,"PUBG, COC",Not regular,Non Paid,3,Positive,Bored,No feeling,No,No,No
22,Bachelor Level,Male,3.73,4.69,9,"Mobile, PC",1:00:00 AM,Yes,2,FREE FIRE,Regular,Non Paid,4,Positive,Excited,Excited to complete level,Yes,No,Yes
24,Master's Level,Male,3.3,5,16,"Mobile, PC",5:00:00 AM,No,2,"COC, 29 Card Games",Not regular,Non Paid,0,Nothing,Bored,Stressed,No,No,Yes
21,Bachelor Level,Male,3.45,4.67,7,"Mobile, PC",3:00:00 AM,Yes,2,"FIFA, PUBG, PES",Not regular,Non Paid,5,Positive,Excited,Excited to complete level,Yes,Yes,Yes
22,Bachelor Level,Male,3,5,5,"Mobile, PC",2:00:00 AM,No,2,"COC, PES",Not regular,Non Paid,2,Positive,Excited,Excited to complete level,No,Yes,No
21,Bachelor Level,Male,3,4.5,12,Mobile,12:00:00 AM,Yes,2,PUBG,Not regular,Non Paid,7,Positive,Excited,Excited to complete level,No,No,No
22,Bachelor Level,Male,3.5,4.68,17,Mobile,2:00:00 AM,No,3,PES,Not regular,Non Paid,8,Positive,Excited,Excited to complete level,No,Yes,No
