What is your age?,Current educational position?,Gender?,Your  current CGPA?,Your Higher Secondary School(H. SC) or A level or equivalent result?,At what age you had started playing games?,Do you play games on mobile or pc?,When you go to sleep?,Do you attend your morning class regularly?,The average time you spend playing games?,Which type of game you addict more?,Do you read newspaper?,Which type of game you played most?,How many time you spend with family and friend?,How you fill when you can not play game in whole day?,How you fill to complete game level?,If you didn't finish games last level what is your feeling?,Do you fill Fatigue?,Do you play games for stress relief?,Are you wearing glasses?
29,Master's Level,Female,3.3,4.51,22,PC,10:30:00 AM,Yes,6,FREE FIRE,Not regular,Paid,3,Upset,Bored,No feeling,No,Yes,Yes
21,Bachelor Level,Male,3.71,3.33,21,PC,10:30:00 AM,No,6,PES,Regular,Paid,3,Angry,Excited,Stressed,Yes,No,Yes
29,Master's Level,Female,3.04,4.55,20,PC,11:30:00 AM,Yes,4,IGA,Not regular,Paid,2,Angry,Excited,Excited to complete level,Yes,Yes,No
28,Master's Level,Female,3.11,4.36,18,PC,1:00:00 AM,Yes,5,PUBG,Not regular,Paid,2,Depressed,Bored,Excited to complete level,No,No,Yes
25,Bachelor Level,Male,2.69,3.68,16,PC,12:30:00 PM,Yes,3,FREE FIRE,Not regular,Paid,1,Angry,Bored,Stressed,Yes,No,No
20,Bachelor Level,Female,3.94,4.25,18,PC,11:30:00 AM,Yes,3,PUBG,Not regular,Paid,2,Positive,Bored,Excited to complete level,No,Yes,No
30,Master's Level,Male,3.24,4.60 ,17,PC,12:30:00 PM,No,2,PUBG,Regular,Paid,2,Upset,Excited,No feeling,Yes,No,Yes
28,Master's Level,Male,3.28,4.81,17,PC,12:30:00 PM,Yes,6,IGA,Not regular,Paid,3,Angry,Bored,Stressed,No,Yes,Yes
20,Bachelor Level,Male,3.91,5,20,Mobile,12:00:00 PM,Yes,4,PES,Not regular,Paid,2,Positive,Bored,No feeling,Yes,Yes,Yes
21,Bachelor Level,Female,2.68,3.76,23,Mobile,11:30:00 AM,No,3,FREE FIRE,Not regular,Paid,2,Upset,Bored,Excited to complete level,Yes,Yes,Yes
24,Bachelor Level,Female,4,3,22,Mobile,12:30:00 PM,Yes,3,PUBG,Regular,Paid,3,Angry,Excited,Stressed,Yes,No,Yes
24,Bachelor Level,Female,3.02,3.11,18,PC,12:00:00 PM,Yes,4,IGA,Not regular,Paid,1,Upset,Excited,Stressed,Yes,Yes,Yes
23,Bachelor Level,Female,3.85,3.95,18,PC,1:30:00 AM,No,4,FREE FIRE,Regular,Paid,2,Angry,Bored,Excited to complete level,Yes,No,Yes
30,Master's Level,Male,3.85,3.34,17,PC,12:30:00 PM,No,3,CALL OF DUTY,Regular,Paid,2,Depressed,Bored,No feeling,No,No,No
27,Master's Level,Male,3.58,4.81,24,PC,1:00:00 AM,No,4,PES,Regular,Paid,2,Upset,Bored,Excited to complete level,Yes,Yes,No
21,Bachelor Level,Male,3.54,4.51,16,Mobile,11:30:00 AM,No,6,FIFA,Not regular,Paid,3,Angry,Excited,Excited to complete level,No,Yes,No
24,Bachelor Level,Male,2.94,4.9,20,Mobile,10:30:00 AM,No,5,FREE FIRE,Regular,Paid,1,Upset,Excited,Stressed,Yes,Yes,No
26,Master's Level,Female,2.34,4.51,23,PC,11:30:00 AM,No,4,COC,Regular,Paid,3,Positive,Excited,No feeling,No,Yes,Yes
28,Master's Level,Female,2.7,4,22,PC,10:30:00 AM,No,4,PUBG,Regular,Paid,3,Depressed,Bored,Excited to complete level,No,Yes,Yes
30,Master's Level,Male,3.87,4.2,20,PC,2:00:00 AM,Yes,4,COC,Not regular,Paid,2,Upset,Bored,No feeling,No,Yes,No
23,Bachelor Level,Female,3.08,3.51,23,Mobile,10:30:00 AM,No,5,PES,Regular,Paid,3,Positive,Bored,Excited to complete level,No,No,Yes
30,Master's Level,Female,3.84,4.83,18,Mobile,10:30:00 AM,No,4,COC,Not regular,Paid,2,Upset,Bored,Excited to complete level,No,Yes,No
27,Master's Level,Male,3.09,4,19,Mobile,2:00:00 AM,No,6,PES,Not regular,Paid,1,Depressed,Bored,No feeling,Yes,No,No
20,Bachelor Level,Female,3.06,4.5,24,Mobile,11:00:00 AM,Yes,2,FREE FIRE,Not regular,Paid,3,Depressed,Excited,Stressed,Yes,No,No
25,Bachelor Level,Male,3.33,4.5,23,Mobile,1:30:00 AM,Yes,3,PUBG,Not regular,Paid,1,Angry,Excited,Excited to complete level,Yes,Yes,Yes
22,Bachelor Level,Female,2.99,4.81,17,PC,11:00:00 AM,Yes,6,FREE FIRE,Regular,Paid,1,Upset,Bored,Stressed,No,No,Yes
21,Bachelor Level,Male,3.78,4.1,24,Mobile,12:30:00 PM,Yes,6,PUBG,Regular,Paid,2,Positive,Excited,Excited to complete level,No,No,No
21,Bachelor Level,Female,2.72,5,16,PC,1:00:00 AM,Yes,2,FIFA,Regular,Paid,2,Upset,Excited,No feeling,Yes,Yes,No
29,Master's Level,Female,3.17,3.69,20,Mobile,12:30:00 PM,No,3,FREE FIRE,Regular,Paid,1,Depressed,Excited,Excited to complete level,No,No,No
27,Master's Level,Male,3.57,4.52,17,Mobile,10:30:00 AM,Yes,2,CALL OF DUTY,Regular,Paid,1,Angry,Bored,Excited to complete level,No,No,No
25,Bachelor Level,Female,4,4.41,22,PC,11:00:00 AM,Yes,5,IGA,Not regular,Paid,1,Positive,Bored,No feeling,Yes,No,No
26,Master's Level,Female,2.68,4.49,23,PC,10:30:00 AM,No,3,FREE FIRE,Regular,Paid,2,Depressed,Bored,Excited to complete level,No,Yes,No
24,Bachelor Level,Female,2.84,4.45,18,Mobile,1:30:00 AM,No,4,CALL OF DUTY,Regular,Paid,2,Upset,Bored,Excited to complete level,Yes,Yes,Yes
30,Master's Level,Female,3.21,3.77,16,Mobile,12:00:00 PM,Yes,4,COC,Regular,Paid,2,Upset,Bored,No feeling,Yes,No,Yes
25,Bachelor Level,Male,2.94,4.53,17,PC,11:00:00 AM,Yes,6,IGA,Regular,Paid,1,Angry,Bored,Excited to complete level,No,No,Yes
23,Bachelor Level,Male,3.46,3.62,21,PC,2:00:00 AM,Yes,6,FREE FIRE,Regular,Paid,1,Angry,Bored,No feeling,No,No,Yes
21,Bachelor Level,Male,3.34,4,22,PC,1:30:00 AM,No,3,CALL OF DUTY,Not regular,Paid,3,Depressed,Bored,Stressed,Yes,No,Yes
23,Bachelor Level,Male,2.9,3.33,20,PC,1:30:00 AM,No,4,COC,Not regular,Paid,2,Depressed,Bored,Stressed,Yes,Yes,Yes
20,Bachelor Level,Male,2.32,4.2,20,Mobile,1:30:00 AM,Yes,3,FIFA,Not regular,Paid,1,Angry,Excited,Stressed,Yes,Yes,No
22,Bachelor Level,Female,3.5,3.52,22,PC,1:00:00 AM,No,5,FREE FIRE,Regular,Paid,3,Upset,Bored,Excited to complete level,Yes,No,Yes
21,Bachelor Level,Male,2.83,4.6,19,PC,10:30:00 AM,No,3,PES,Regular,Paid,3,Angry,Bored,Stressed,No,No,No
26,Master's Level,Female,2.62,3.29,22,PC,1:00:00 AM,No,5,CALL OF DUTY,Not regular,Paid,2,Upset,Excited,No feeling,Yes,No,No
30,Master's Level,Female,2.74,3.81,24,PC,2:00:00 AM,Yes,5,CALL OF DUTY,Not regular,Paid,1,Positive,Bored,Excited to complete level,Yes,Yes,Yes
29,Master's Level,Female,3.28,4.79,20,Mobile,10:30:00 AM,Yes,3,COC,Regular,Paid,2,Positive,Excited,Excited to complete level,Yes,No,Yes
27,Master's Level,Female,2.73,4.33,16,PC,11:00:00 AM,No,5,PES,Not regular,Paid,3,Positive,Excited,Stressed,Yes,Yes,No
21,Bachelor Level,Female,3.52,4.82,23,PC,2:00:00 AM,No,6,FREE FIRE,Not regular,Paid,3,Upset,Bored,Stressed,Yes,Yes,Yes
28,Master's Level,Male,3.79,3.87,16,Mobile,11:00:00 AM,No,4,CALL OF DUTY,Not regular,Paid,3,Angry,Excited,No feeling,No,Yes,Yes
20,Bachelor Level,Female,3.73,4.85,18,Mobile,11:30:00 AM,Yes,3,FIFA,Not regular,Paid,2,Upset,Bored,Excited to complete level,No,Yes,Yes
29,Master's Level,Female,3.48,3.03,21,Mobile,2:00:00 AM,Yes,3,CALL OF DUTY,Not regular,Paid,2,Upset,Excited,No feeling,Yes,Yes,No
30,Master's Level,Male,3.53,3.04,18,PC,10:30:00 AM,No,2,PUBG,Regular,Paid,3,Upset,Bored,Excited to complete level,No,Yes,Yes
21,Bachelor Level,Male,2.95,3.14,16,PC,11:30:00 AM,Yes,2,PES,Regular,Paid,3,Positive,Bored,Stressed,Yes,No,Yes
27,Master's Level,Female,3.68,4.99,18,Mobile,11:00:00 AM,Yes,6,FREE FIRE,Not regular,Paid,1,Upset,Excited,Stressed,No,No,Yes
30,Master's Level,Female,3.99,5,20,Mobile,1:00:00 AM,Yes,3,COC,Not regular,Paid,1,Positive,Bored,Excited to complete level,Yes,No,Yes
27,Master's Level,Male,3.2,4.2,21,PC,12:30:00 PM,No,3,PUBG,Not regular,Paid,3,Angry,Bored,Stressed,No,Yes,Yes
20,Bachelor Level,Female,2.47,3.71,20,PC,10:30:00 AM,No,6,IGA,Regular,Paid,1,Upset,Bored,Stressed,Yes,No,Yes
30,Master's Level,Female,3,3.87,18,PC,12:00:00 PM,Yes,6,FREE FIRE,Regular,Paid,3,Angry,Excited,Stressed,Yes,No,Yes
20,Bachelor Level,Female,2.45,3.4,19,PC,11:00:00 AM,No,3,PES,Not regular,Paid,3,Angry,Excited,Stressed,Yes,Yes,Yes
23,Bachelor Level,Male,3.39,4.46,23,Mobile,11:00:00 AM,No,6,PUBG,Not regular,Paid,3,Upset,Bored,Excited to complete level,No,No,No
20,Bachelor Level,Male,2.49,3.04,16,Mobile,2:00:00 AM,No,6,COC,Regular,Paid,3,Upset,Bored,Stressed,No,No,No
22,Bachelor Level,Male,3.56,3.03,19,Mobile,2:00:00 AM,No,2,PES,Regular,Paid,3,Depressed,Bored,Stressed,Yes,Yes,Yes
28,Master's Level,Male,2.45,4.91,20,PC,11:30:00 AM,No,6,PES,Regular,Paid,3,Upset,Excited,Excited to complete level,No,Yes,No
22,Bachelor Level,Female,3.53,4.73,19,PC,2:00:00 AM,No,6,PES,Not regular,Paid,3,Angry,Excited,Excited to complete level,No,Yes,No
22,Bachelor Level,Male,3.14,4.21,18,Mobile,10:30:00 AM,Yes,6,IGA,Regular,Paid,1,Upset,Excited,Excited to complete level,No,Yes,No
26,Master's Level,Male,3.76,4.28,19,PC,12:00:00 PM,Yes,5,PUBG,Not regular,Paid,1,Angry,Excited,Excited to complete level,Yes,No,No
21,Bachelor Level,Female,2.42,4.98,24,Mobile,11:30:00 AM,Yes,6,FREE FIRE,Not regular,Paid,2,Positive,Excited,Stressed,No,Yes,Yes
28,Master's Level,Male,3.51,4.83,21,PC,12:30:00 PM,No,3,FIFA,Regular,Paid,1,Positive,Bored,Excited to complete level,Yes,No,Yes
20,Bachelor Level,Female,3.8,4,17,Mobile,1:00:00 AM,Yes,6,PES,Not regular,Paid,3,Positive,Excited,Excited to complete level,No,Yes,Yes
25,Bachelor Level,Female,3.47,4.23,21,Mobile,11:30:00 AM,No,2,PES,Regular,Paid,3,Positive,Excited,Stressed,No,Yes,Yes
29,Master's Level,Male,2.86,3.43,22,PC,1:00:00 AM,Yes,5,COC,Regular,Paid,2,Depressed,Excited,No feeling,No,Yes,No
28,Master's Level,Female,3.61,4.41,16,Mobile,1:30:00 AM,No,3,PES,Not regular,Paid,1,Positive,Excited,No feeling,Yes,Yes,Yes
27,Master's Level,Female,3.19,4.53,18,PC,11:00:00 AM,Yes,6,PES,Not regular,Paid,2,Angry,Bored,Excited to complete level,Yes,No,No
22,Bachelor Level,Female,3.1,3.98,22,PC,10:30:00 AM,Yes,2,PUBG,Regular,Paid,2,Angry,Bored,Stressed,No,No,Yes
29,Master's Level,Female,3.86,4,24,Mobile,1:00:00 AM,No,2,IGA,Not regular,Paid,1,Angry,Bored,Excited to complete level,Yes,Yes,Yes
21,Bachelor Level,Male,2.36,4.62,23,Mobile,1:30:00 AM,Yes,3,IGA,Regular,Paid,2,Upset,Bored,Excited to complete level,Yes,No,Yes
29,Master's Level,Female,3.3,4.51,22,PC,10:30:00 AM,Yes,6,FREE FIRE,Not regular,Paid,3,Upset,Bored,No feeling,No,Yes,Yes
21,Bachelor Level,Male,3.71,3.33,21,PC,10:30:00 AM,No,6,PES,Regular,Paid,3,Angry,Excited,Stressed,Yes,No,Yes
29,Master's Level,Female,3.04,4.55,20,PC,11:30:00 AM,Yes,4,IGA,Not regular,Paid,2,Angry,Excited,Excited to complete level,Yes,Yes,No
28,Master's Level,Female,3.11,4.36,18,PC,1:00:00 AM,Yes,5,PUBG,Not regular,Paid,2,Depressed,Bored,Excited to complete level,No,No,Yes
25,Bachelor Level,Male,2.69,3.68,16,PC,12:30:00 PM,Yes,3,FREE FIRE,Not regular,Paid,1,Angry,Bored,Stressed,Yes,No,No
20,Bachelor Level,Female,3.94,4.25,18,PC,11:30:00 AM,Yes,3,PUBG,Not regular,Paid,2,Positive,Bored,Excited to complete level,No,Yes,No
30,Master's Level,Male,3.24,4,17,PC,12:30:00 PM,No,2,PUBG,Regular,Paid,2,Upset,Excited,No feeling,Yes,No,Yes
28,Master's Level,Male,3.28,5,17,PC,12:30:00 PM,Yes,6,IGA,Not regular,Paid,3,Angry,Bored,Stressed,No,Yes,Yes
20,Bachelor Level,Male,3.91,4.2,20,Mobile,12:00:00 PM,Yes,4,PES,Not regular,Paid,2,Positive,Bored,No feeling,Yes,Yes,Yes
21,Bachelor Level,Female,2.68,3.76,23,Mobile,11:30:00 AM,No,3,FREE FIRE,Not regular,Paid,2,Upset,Bored,Excited to complete level,Yes,Yes,Yes
24,Bachelor Level,Female,4,3,22,Mobile,12:30:00 PM,Yes,3,PUBG,Regular,Paid,3,Angry,Excited,Stressed,Yes,No,Yes
24,Bachelor Level,Female,3.02,3.11,18,PC,12:00:00 PM,Yes,4,IGA,Not regular,Paid,1,Upset,Excited,Stressed,Yes,Yes,Yes
23,Bachelor Level,Female,3.85,3.95,18,PC,1:30:00 AM,No,4,FREE FIRE,Regular,Paid,2,Angry,Bored,Excited to complete level,Yes,No,Yes
30,Master's Level,Male,3.85,3.34,17,PC,12:30:00 PM,No,3,CALL OF DUTY,Regular,Paid,2,Depressed,Bored,No feeling,No,No,No
27,Master's Level,Male,3.58,4.5,24,PC,1:00:00 AM,No,4,PES,Regular,Paid,2,Upset,Bored,Excited to complete level,Yes,Yes,No
21,Bachelor Level,Male,3.54,4.51,16,Mobile,11:30:00 AM,No,6,FIFA,Not regular,Paid,3,Angry,Excited,Excited to complete level,No,Yes,No
24,Bachelor Level,Male,2.94,4,20,Mobile,10:30:00 AM,No,5,FREE FIRE,Regular,Paid,1,Upset,Excited,Stressed,Yes,Yes,No
26,Master's Level,Female,2.34,4.51,23,PC,11:30:00 AM,No,4,COC,Regular,Paid,3,Positive,Excited,No feeling,No,Yes,Yes
28,Master's Level,Female,2.7,5,22,PC,10:30:00 AM,No,4,PUBG,Regular,Paid,3,Depressed,Bored,Excited to complete level,No,Yes,Yes
30,Master's Level,Male,3.87,4.5,20,PC,2:00:00 AM,Yes,4,COC,Not regular,Paid,2,Upset,Bored,No feeling,No,Yes,No
23,Bachelor Level,Female,3.08,3.51,23,Mobile,10:30:00 AM,No,5,PES,Regular,Paid,3,Positive,Bored,Excited to complete level,No,No,Yes
30,Master's Level,Female,3.84,4.83,18,Mobile,10:30:00 AM,No,4,COC,Not regular,Paid,2,Upset,Bored,Excited to complete level,No,Yes,No
27,Master's Level,Male,3.09,4.6,19,Mobile,2:00:00 AM,No,6,PES,Not regular,Paid,1,Depressed,Bored,No feeling,Yes,No,No
20,Bachelor Level,Female,3.06,4.8,24,Mobile,11:00:00 AM,Yes,2,FREE FIRE,Not regular,Paid,3,Depressed,Excited,Stressed,Yes,No,No
25,Bachelor Level,Male,3.33,4.5,23,Mobile,1:30:00 AM,Yes,3,PUBG,Not regular,Paid,1,Angry,Excited,Excited to complete level,Yes,Yes,Yes
22,Bachelor Level,Female,2.99,4.81,17,PC,11:00:00 AM,Yes,6,FREE FIRE,Regular,Paid,1,Upset,Bored,Stressed,No,No,Yes
21,Bachelor Level,Male,3.78,4.9,24,Mobile,12:30:00 PM,Yes,6,PUBG,Regular,Paid,2,Positive,Excited,Excited to complete level,No,No,No
21,Bachelor Level,Female,2.72,5,16,PC,1:00:00 AM,Yes,2,FIFA,Regular,Paid,2,Upset,Excited,No feeling,Yes,Yes,No
29,Master's Level,Female,3.17,3.69,20,Mobile,12:30:00 PM,No,3,FREE FIRE,Regular,Paid,1,Depressed,Excited,Excited to complete level,No,No,No
27,Master's Level,Male,3.57,4.52,17,Mobile,10:30:00 AM,Yes,2,CALL OF DUTY,Regular,Paid,1,Angry,Bored,Excited to complete level,No,No,No
25,Bachelor Level,Female,4,4.5,22,PC,11:00:00 AM,Yes,5,IGA,Not regular,Paid,1,Positive,Bored,No feeling,Yes,No,No
26,Master's Level,Female,2.68,4.49,23,PC,10:30:00 AM,No,3,FREE FIRE,Regular,Paid,2,Depressed,Bored,Excited to complete level,No,Yes,No
24,Bachelor Level,Female,2.84,4,18,Mobile,1:30:00 AM,No,4,CALL OF DUTY,Regular,Paid,2,Upset,Bored,Excited to complete level,Yes,Yes,Yes
30,Master's Level,Female,3.21,3.77,16,Mobile,12:00:00 PM,Yes,4,COC,Regular,Paid,2,Upset,Bored,No feeling,Yes,No,Yes
25,Bachelor Level,Male,2.94,4.53,17,PC,11:00:00 AM,Yes,6,IGA,Regular,Paid,1,Angry,Bored,Excited to complete level,No,No,Yes
23,Bachelor Level,Male,3.46,3.62,21,PC,2:00:00 AM,Yes,6,FREE FIRE,Regular,Paid,1,Angry,Bored,No feeling,No,No,Yes
21,Bachelor Level,Male,3.34,4.5,22,PC,1:30:00 AM,No,3,CALL OF DUTY,Not regular,Paid,3,Depressed,Bored,Stressed,Yes,No,Yes
23,Bachelor Level,Male,2.9,3.33,20,PC,1:30:00 AM,No,4,COC,Not regular,Paid,2,Depressed,Bored,Stressed,Yes,Yes,Yes
20,Bachelor Level,Male,2.32,4.6,20,Mobile,1:30:00 AM,Yes,3,FIFA,Not regular,Paid,1,Angry,Excited,Stressed,Yes,Yes,No
22,Bachelor Level,Female,3.5,3.52,22,PC,1:00:00 AM,No,5,FREE FIRE,Regular,Paid,3,Upset,Bored,Excited to complete level,Yes,No,Yes
21,Bachelor Level,Male,2.83,5,19,PC,10:30:00 AM,No,3,PES,Regular,Paid,3,Angry,Bored,Stressed,No,No,No
26,Master's Level,Female,2.62,3.29,22,PC,1:00:00 AM,No,5,CALL OF DUTY,Not regular,Paid,2,Upset,Excited,No feeling,Yes,No,No
30,Master's Level,Female,2.74,3.81,24,PC,2:00:00 AM,Yes,5,CALL OF DUTY,Not regular,Paid,1,Positive,Bored,Excited to complete level,Yes,Yes,Yes
29,Master's Level,Female,3.28,4.79,20,Mobile,10:30:00 AM,Yes,3,COC,Regular,Paid,2,Positive,Excited,Excited to complete level,Yes,No,Yes
27,Master's Level,Female,2.73,4.33,16,PC,11:00:00 AM,No,5,PES,Not regular,Paid,3,Positive,Excited,Stressed,Yes,Yes,No
21,Bachelor Level,Female,3.52,4.82,23,PC,2:00:00 AM,No,6,FREE FIRE,Not regular,Paid,3,Upset,Bored,Stressed,Yes,Yes,Yes
28,Master's Level,Male,3.79,3.87,16,Mobile,11:00:00 AM,No,4,CALL OF DUTY,Not regular,Paid,3,Angry,Excited,No feeling,No,Yes,Yes
20,Bachelor Level,Female,3.73,4.85,18,Mobile,11:30:00 AM,Yes,3,FIFA,Not regular,Paid,2,Upset,Bored,Excited to complete level,No,Yes,Yes
29,Master's Level,Female,3.48,3.03,21,Mobile,2:00:00 AM,Yes,3,CALL OF DUTY,Not regular,Paid,2,Upset,Excited,No feeling,Yes,Yes,No
30,Master's Level,Male,3.53,3.04,18,PC,10:30:00 AM,No,2,PUBG,Regular,Paid,3,Upset,Bored,Excited to complete level,No,Yes,Yes
21,Bachelor Level,Male,2.95,3.14,16,PC,11:30:00 AM,Yes,2,PES,Regular,Paid,3,Positive,Bored,Stressed,Yes,No,Yes
27,Master's Level,Female,3.68,4.99,18,Mobile,11:00:00 AM,Yes,6,FREE FIRE,Not regular,Paid,1,Upset,Excited,Stressed,No,No,Yes
30,Master's Level,Female,3.99,3.5,20,Mobile,1:00:00 AM,Yes,3,COC,Not regular,Paid,1,Positive,Bored,Excited to complete level,Yes,No,Yes
27,Master's Level,Male,3.2,5,21,PC,12:30:00 PM,No,3,PUBG,Not regular,Paid,3,Angry,Bored,Stressed,No,Yes,Yes
21,Bachelor Level,Male,3,4,15,Mobile,2:00:00 AM,No,2,PES,Not regular,Non Paid,5,Positive,Excited,Excited to complete level,Yes,Yes,No
21,Bachelor Level,Male,3.9,5,16,Mobile,12:00:00 AM,Yes,3,"FIFA, COC, CALL OF DUTY",Not regular,Non Paid,6,Nothing special ,Excited,No feeling,Yes,No,No
20,Bachelor Level,Male,3.5,5,5,Mobile,12:08:00 PM,Yes,3,"COC, ",Not regular,Non Paid,10,Positive,Excited,Excited to complete level,Yes,Yes,Yes
19,Bachelor Level,Female,3.75,5,14,"Mobile, PC",2:00:00 AM,Yes,3,RGB,Not regular,Non Paid,6,I don't feel anything ,Excited,Excited to complete level,No,Yes,Yes
21,Bachelor Level,Male,5,5,12,Mobile,11:00:00 PM,Yes,1,CALL OF DUTY,Not regular,Non Paid,10,Positive,Excited,No feeling,No,No,No
22,Bachelor Level,Female,4,3.8,19,PC,11:00:00 AM,Yes,4,FREE FIRE,Not regular,Non Paid,2,Angry,Bored,Excited to complete level,Yes,No,No
26,Master's Level,Female,3,3.6,22,Mobile,1:00:00 AM,No,2,FREE FIRE,Not regular,Paid,2,Depressed,Excited,Stressed,Yes,No,Yes
22,Bachelor Level,Female,3,4,3,PC,11:30:00 AM,Yes,3,PES,Not regular,Non Paid,3,Upset,Excited,No feeling,Yes,Yes,No
27,Master's Level,Male,3.5,5,20,Mobile,2:00:00 AM,Yes,4,IGA,Regular,Paid,4,Depressed,Excited,Excited to complete level,Yes,Yes,No
22,Bachelor Level,Male,3,4,20,PC,12:00:00 PM,Yes,3,COC,Regular,Paid,2,Angry,Bored,No feeling,Yes,Yes,Yes
26,Master's Level,Female,3.3,4.58,22,PC,1:30:00 AM,Yes,3,PUBG,Not regular,Non Paid,2,Positive,Excited,Stressed,Yes,Yes,Yes
25,Bachelor Level,Male,3.8,5,22,PC,12:00:00 PM,No,2,FIFA,Regular,Paid,2,Angry,Excited,Excited to complete level,Yes,Yes,Yes
24,Bachelor Level,Male,3,4.63,20,Mobile,12:30:00 PM,Yes,2,PUBG,Regular,Paid,2,Depressed,Bored,Stressed,Yes,Yes,Yes
26,Master's Level,Female,3,4,22,Mobile,2:00:00 AM,Yes,2,PUBG,Regular,Paid,2,Depressed,Excited,Excited to complete level,Yes,Yes,Yes
24,Bachelor Level,Male,3,4.59,22,Mobile,1:30:00 AM,Yes,3,COC,Regular,Paid,3,Upset,Bored,Stressed,Yes,Yes,Yes
26,Master's Level,Female,4,3,22,Mobile,1:00:00 AM,Yes,2,COC,Not regular,Non Paid,1,Angry,Excited,Excited to complete level,Yes,Yes,Yes
25,Master's Level,Female,3.3,3.37,21,PC,2:30:00 AM,No,3,FIFA,Not regular,Paid,3,Positive,Bored,Stressed,Yes,No,Yes
24,Bachelor Level,Female,3.25,4,19,PC,12:30:00 PM,Yes,6,PUBG,Regular,Non Paid,2,Upset,Bored,Excited to complete level,No,Yes,Yes
27,Master's Level,Female,4,5,22,Mobile,11:30:00 AM,No,5,CALL OF DUTY,Regular,Non Paid,3,Depressed,Excited,Stressed,No,No,No
18,Bachelor Level,Male,4,4.73,19,PC,10:30:00 AM,No,3,FIFA,Not regular,Paid,2,Depressed,Excited,Excited to complete level,No,No,Yes
18,Bachelor Level,Female,2.53,3.03,18,PC,2:30:00 AM,No,4,PES,Regular,Paid,2,Upset,Bored,No feeling,Yes,No,Yes
22,Bachelor Level,Female,3.19,4.29,18,PC,1:30:00 AM,No,4,IGA,Not regular,Non Paid,2,Upset,Bored,No feeling,No,Yes,No
19,Bachelor Level,Male,4.18,4.5,18,PC,11:30:00 AM,Yes,4,PUBG,Regular,Paid,4,Depressed,Bored,Excited to complete level,No,Yes,No
27,Master's Level,Male,4,2.33,24,Mobile,11:30:00 AM,No,4,PES,Not regular,Non Paid,4,Depressed,Excited,No feeling,No,No,Yes
24,Bachelor Level,Female,3,4,18,Mobile,11:30:00 AM,Yes,4,PUBG,Not regular,Non Paid,4,Depressed,Excited,Excited to complete level,No,No,No
24,Bachelor Level,Female,4,4.04,20,Mobile,10:30:00 AM,No,5,CALL OF DUTY,Not regular,Paid,3,Upset,Excited,Excited to complete level,Yes,Yes,No
18,Bachelor Level,Male,2.75,4.33,19,PC,1:30:00 AM,Yes,6,CALL OF DUTY,Not regular,Non Paid,3,Depressed,Bored,Excited to complete level,Yes,Yes,No
19,Bachelor Level,Female,3,4.83,20,PC,10:30:00 AM,No,6,PES,Regular,Paid,4,Depressed,Bored,No feeling,Yes,Yes,Yes
27,Master's Level,Male,2.98,4,22,PC,12:30:00 PM,Yes,2,FIFA,Not regular,Paid,2,Depressed,Bored,Stressed,Yes,Yes,Yes
24,Bachelor Level,Female,3.25,4.43,19,Mobile,11:30:00 AM,Yes,4,CALL OF DUTY,Regular,Non Paid,4,Depressed,Bored,No feeling,Yes,No,No
26,Master's Level,Female,3.96,5.00 ,22,PC,1:30:00 AM,No,2,IGA,Not regular,Paid,4,Depressed,Excited,Stressed,Yes,No,No
21,Bachelor Level,Male,3,4.55,19,Mobile,11:30:00 AM,No,3,FREE FIRE,Regular,Paid,2,Positive,Bored,No feeling,No,No,Yes
26,Master's Level,Female,2.5,3,21,Mobile,10:30:00 AM,No,3,CALL OF DUTY,Regular,Paid,2,Depressed,Bored,No feeling,No,No,No
19,Bachelor Level,Male,3,4,19,Mobile,10:30:00 AM,Yes,5,PES,Regular,Non Paid,2,Angry,Excited,No feeling,No,Yes,Yes
26,Master's Level,Male,3,3.18,22,Mobile,1:30:00 AM,Yes,3,IGA,Not regular,Paid,3,Positive,Bored,Stressed,Yes,Yes,No
27,Master's Level,Male,3.50 ,4.5,21,Mobile,1:30:00 AM,No,5,COC,Regular,Paid,2,Positive,Bored,No feeling,No,Yes,No
27,Master's Level,Male,2.76,4.75,20,Mobile,10:30:00 AM,No,6,IGA,Regular,Non Paid,3,Angry,Bored,Excited to complete level,Yes,No,No
18,Bachelor Level,Female,4,4.22,20,PC,1:30:00 AM,No,2,CALL OF DUTY,Regular,Paid,2,Positive,Bored,Excited to complete level,No,Yes,No
19,Bachelor Level,Female,3.19,2,19,Mobile,11:30:00 AM,Yes,5,FIFA,Regular,Non Paid,3,Depressed,Bored,No feeling,No,No,Yes
20,Bachelor Level,Female,3.04,4,20,Mobile,1:30:00 AM,No,3,FIFA,Not regular,Non Paid,3,Angry,Excited,Stressed,No,Yes,No
22,Bachelor Level,Female,5,4,21,PC,12:30:00 PM,No,2,PUBG,Not regular,Non Paid,3,Positive,Bored,Stressed,Yes,Yes,Yes
18,Bachelor Level,Male,3,4.5,21,PC,2:30:00 AM,Yes,3,PUBG,Not regular,Non Paid,4,Depressed,Excited,No feeling,No,Yes,Yes
28,Master's Level,Male,2.75,4,23,PC,10:30:00 AM,Yes,6,FIFA,Regular,Paid,2,Positive,Bored,Stressed,Yes,No,Yes
20,Bachelor Level,Female,3,3.59,20,Mobile,11:30:00 AM,No,2,IGA,Not regular,Non Paid,3,Depressed,Bored,Excited to complete level,Yes,Yes,Yes
